MJD,alpha_flux,sigma,alpha_pol,sigma_alpha_pol
54951.08203125,1.0680888321096187,0.11115325920263237,-1.2254572028375674,0.043103221761993514
55152.484375,0.52321308156649382,0.12232514981750431,-0.6637356982911371,0.027323079984206401
55183.25390625,1.634437750297675,0.41624034456836279,-0.33737519859385012,0.0095836622368987989
55294.21484375,1.536567898975354,0.3001454972908621,-0.40373402097877592,0.012961624719500141
55333.01171875,0.99115544096929031,0.056010370097833426,-0.47089636730515483,0.013151382779979875
55360.25390625,1.3311645531231893,0.090717100080124347,-0.32281946882415713,0.012672206630305731
55384.171875,0.098199451744881761,0.32685408890125334,-0.42539317986937197,0.024285621944123953
55512.6953125,1.6329174305435448,0.31887074800450388,-0.79573369395501237,0.021286976260338576
55535.5,1.3042621983506122,0.12200418058844906,-0.90188251810033448,0.027426836997352839
55566.109375,1.3719903132990359,0.050801579784175412,-0.10759726713235303,0.014033401992341186
55597.390625,1.3634643166664677,0.19695175252535096,-0.80769397796010789,0.018756392958382197
55622.35546875,0.69926222594654519,0.032682472079556359,0.36563504468113978,0.010306425216918156
55654.12890625,-3.5390081852321011,0.88069708134344693,-0.49594754795940593,0.014546276281569487
55709.2578125,2.8870156342691882,0.14902068696989978,-0.15470360094999763,0.011864941090379366
55726.7734375,-0.58525702589882711,0.68680275287273962,-0.19865891714730505,0.017374383858689925
55741.0234375,1.5035976099464954,0.077987084984676602,0.092383309969203992,0.016628411682238803
55893.89453125,1.9288536617052632,0.18467410991502081,-0.90135292442532677,0.038317285006071337
55924.94921875,1.5785613955843478,0.079474193381867342,-0.59741147386155324,0.029127935101848031
55952.4453125,1.3251814849809203,0.039511348632128331,-0.53846029942325835,0.022808008648621057
55975.078125,1.2463105146450106,0.10709815981037404,-0.69347537267327652,0.025517903581686076
56010.8671875,2.0388149415601071,0.084693551668403019,-0.63671957502460819,0.029760209988935898
56043.6328125,1.3277098325082886,0.11758055811129126,-0.83911744332644966,0.03649651411636641
56069.91015625,1.2248597874798743,0.12795254106964152,-0.24296756969902131,0.013937060528392048
56095.609375,1.4286928168133071,0.081128169695005553,-0.54709418901191353,0.023194906320899267
56244.51171875,1.361309891648804,0.11221170274975613,-0.48089870682727542,0.012913381788029612
56271.1015625,1.2430216915432255,0.059003693692609868,-0.57606371213343832,0.017890212756301708
56307.9296875,0.80009045694131653,0.025654384157311912,-0.99708095285350506,0.016960006757153989
56330.7578125,0.96881555448779444,0.021719032464137741,-1.0882415769044738,0.03674245375542199
56362.15234375,1.0855992946508093,0.031024027416271482,-1.0442242337054333,0.040824007543241211
56394.6953125,0.81275278784585547,0.066296878189528799,-1.2609563966410828,0.047758875551192431
56423.609375,0.98361489808123403,0.045886837231371561,-1.0119605614566904,0.046923684970272994
56445.24609375,0.78647045962714091,0.035469185006991998,-1.0758008517965787,0.040501464475708564
56624.5,0.73069762904515956,0.028524020441890875,0.028044858441965387,0.0092469603006409516
56654.984375,0.94786127188505032,0.016414748635662942,0.097516221233693759,0.0089105848844543145
56693.6640625,0.72588726427206673,0.033654710344893458,-0.34219603447885949,0.011269652759907165
56714.34765625,0.52187564971595968,0.031267453428489841,0.48431997854351588,0.010297628049162856
56745.19921875,0.84961541632308346,0.017418843928575789,0.026386168409244043,0.0077344613204995789
56777.27734375,1.35131530480552,0.019514053015528367,0.44876959339282929,0.0085680811073131306
56801.7109375,1.2636000256787467,0.031208299010503388,0.25981258357131776,0.019147304655066734
56831.22265625,1.2540369562731122,0.035144777932817929,0.28139452284243255,0.019692385432864917
56860.1953125,0.87138632706935792,0.067890005056126815,0.15651701647260377,0.042787408789835141
56987.015625,1.3980009410780181,0.039149727985172994,0.50850246267931687,0.0084961304277948041
57015.88671875,1.4932456520473367,0.032594562564133095,0.47236851038682914,0.0095738421493442461
57045.4296875,1.3393018410486901,0.026080576340576516,0.61331316080192033,0.0084564586827193637
57068.96484375,1.241214478340483,0.038128188427209171,0.3817246060290585,0.0073840967379310875
57104.20703125,1.2481536324216194,0.019477762396823729,0.24844950237334709,0.010436245398698012
57128.94921875,1.0828076860011995,0.01440585916506738,0.40900237823005264,0.013408728092963659
57164.08984375,1.183953480829455,0.017914992049429059,0.21564331773045711,0.012894854226359149
57190.9765625,1.1200408689771613,0.041480006396511192,0.32351230314394119,0.01885180460496293
